# 现代常用多音字读音表，用于手写反查时的读音标注。
# 数据来源：https://github.com/mapull/chinese-dictionary (MIT License) character/polyphone.json
# 仅保留字符与读音，U+0261 已规范化为普通 g。格式：汉字<TAB>读音1,读音2,...
丁	dīng,zhēng
丂	kǎo,qiǎo,yú
万	wàn,mò
上	shàng,shǎng
丌	qí,jī
不	bù,fǒu
与	yǔ,yù,yú
且	qiě,jū
丧	sāng,sàng
个	gè,gě
中	zhōng,zhòng
为	wéi,wèi
丽	lì,lí
乁	yí,jí
乇	tuō,zhé
么	yāo,mó
乌	wū,wù
乐	lè,yuè
乗	chéng,shèng
乘	chéng,shèng
乚	háo,yǐ
乜	miē,niè
乾	qián,gān
乿	zhì,luàn
亃	lǐn,lìn
了	liǎo,le
予	yú,yǔ
些	xiē,suò
亝	qí,zhāi
亟	jí,qì
亡	wáng,wú
亨	hēng,pēng
亲	qīn,qìng
亶	dǎn,dàn
亹	mén,wěi
什	shí,shén
仅	jǐn,jìn
仆	pū,pú
仇	chóu,qiú
从	cóng,zòng
仐	jīn,sǎn
仔	zī,zǐ,zǎi
仛	tuō,chà,duó
仠	gǎn,hàn
仡	yì,gē
令	líng,lǐng,lìng
仧	cháng,zhǎng
仯	chào,miǎo
仰	yǎng,áng
仳	pǐ,pí
价	jià,jiè,jie
仸	yǎo,fó
任	rèn,rén
份	fèn,bīn
伎	jì,qí
休	xiū,xù
会	huì,kuài
传	chuán,zhuàn
伡	chē,jū
伧	cāng,chen
伭	xián,xuán
伮	nú,nǔ
伯	bó,bǎi,bà
估	gū,gù
伲	nǐ,nì
伺	sì,cì
似	sì,shì
伽	qié,jiā,gā
佁	yǐ,chì
佃	diàn,tián
佄	hān,gàn
佋	zhāo,shào
体	tǐ,tī,bèn
佔	zhàn,diān
何	hé,hē,hè
佚	yì,dié
佛	fó,fú,bì,bó
作	zuō,zuò
佝	gōu,kòu
佣	yōng,yòng
佴	ěr,nài
侗	dòng,tóng,tǒng
供	gōng,gòng
侥	jiǎo,yáo
侧	cè,zè,zhāi
侯	hóu,hòu
侱	chěng,tǐng
侲	zhèn,zhēn
侸	shù,dōu
侻	tuì,tuō
便	biàn,pián
俏	qiào,xiào
俞	yú,yù,shù
俟	sì,qí
信	xìn,shēn
俩	liǎng,liǎ
俶	chù,tì
俿	hǔ,chí
倆	liǎng,liǎ
倒	dǎo,dào
倓	tán,tǎn
倔	jué,juè
倘	tǎng,cháng
倞	jìng,liàng
倡	chàng,chāng
倥	kōng,kǒng
倭	wō,wēi
